En	O
entrant	O
,	O
ils	O
aperçurent	O
Dorian	O
Gray.	O

Il	O
était	O
assis	O
au	O
piano	O
,	O
leur	O
tournant	O
le	O
dos	O
,	O
feuilletant	O
les	O
pages	O
d’un	O
volume	O
des	O
""""	O
Scènes	O
de	O
la	O
Forêt	O
""""	O
de	O
Schumann.	O

—	O
Vous	B-QUOTE
allez	I-QUOTE
me	I-QUOTE
les	I-QUOTE
prêter	I-QUOTE
,	I-QUOTE
Basil	I-QUOTE
,	I-QUOTE
cria-t-il…	B-REF
Il	B-QUOTE
faut	I-QUOTE
que	I-QUOTE
je	I-QUOTE
les	I-QUOTE
apprenne.	I-QUOTE

C’est	O
tout	O
à	O
fait	O
charmant.	O

—	O
Cela	B-QUOTE
dépend	I-QUOTE
comment	I-QUOTE
vous	I-QUOTE
poserez	I-QUOTE
aujourd’hui	I-QUOTE
,	I-QUOTE
Dorian…	I-QUOTE
—	O
Oh	B-QUOTE
!	I-QUOTE

Je	I-QUOTE
suis	I-QUOTE
fatigué	I-QUOTE
de	I-QUOTE
poser	I-QUOTE
,	I-QUOTE
et	I-QUOTE
je	I-QUOTE
n’ai	I-QUOTE
pas	I-QUOTE
besoin	I-QUOTE
d’un	I-QUOTE
portrait	I-QUOTE
grandeur	I-QUOTE
naturelle	I-QUOTE
,	I-QUOTE
riposta	B-REF
l’adolescent	I-REF
en	O
évoluant	O
sur	O
le	O
tabouret	O
du	O
piano	O
d’une	O
manière	O
pétulante	O
et	O
volontaire…	O
Une	O
légère	O
rougeur	O
colora	O
ses	O
joues	O
quand	O
il	O
aperçut	O
lord	O
Henry	O
,	O
et	O
il	O
s’arrêta	O
court…	O
—	O
Je	B-QUOTE
vous	I-QUOTE
demande	I-QUOTE
pardon	I-QUOTE
,	I-QUOTE
Basil	I-QUOTE
,	I-QUOTE
mais	I-QUOTE
je	I-QUOTE
ne	I-QUOTE
savais	I-QUOTE
pas	I-QUOTE
que	I-QUOTE
vous	I-QUOTE
étiez	I-QUOTE
avec	I-QUOTE
quelqu’un…	I-QUOTE
—	O
C’est	B-QUOTE
lord	I-QUOTE
Henry	I-QUOTE
Wotton	I-QUOTE
,	I-QUOTE
Dorian	I-QUOTE
,	I-QUOTE
un	I-QUOTE
de	I-QUOTE
mes	I-QUOTE
vieux	I-QUOTE
amis	I-QUOTE
d’Oxford.	I-QUOTE

Je	B-QUOTE
lui	I-QUOTE
disais	I-QUOTE
justement	I-QUOTE
quel	I-QUOTE
admirable	I-QUOTE
modèle	I-QUOTE
vous	I-QUOTE
étiez	I-QUOTE
,	I-QUOTE
et	I-QUOTE
vous	I-QUOTE
venez	I-QUOTE
de	I-QUOTE
tout	I-QUOTE
gâter…	I-QUOTE
—	O
Mais	B-QUOTE
mon	I-QUOTE
plaisir	I-QUOTE
n’est	I-QUOTE
pas	I-QUOTE
gâté	I-QUOTE
de	I-QUOTE
vous	I-QUOTE
rencontrer	I-QUOTE
,	I-QUOTE
M.	I-QUOTE
Gray	I-QUOTE
,	I-QUOTE
dit	B-REF
lord	I-REF
Henry	I-REF
en	O
s’avançant	O
et	O
lui	O
tendant	O
la	O
main.	O

Ma	B-QUOTE
tante	I-QUOTE
m’a	I-QUOTE
parlé	I-QUOTE
souvent	I-QUOTE
de	I-QUOTE
vous.	I-QUOTE

Vous	B-QUOTE
êtes	I-QUOTE
un	I-QUOTE
de	I-QUOTE
ses	I-QUOTE
favoris	I-QUOTE
,	I-QUOTE
et	I-QUOTE
,	I-QUOTE
je	I-QUOTE
le	I-QUOTE
crains	I-QUOTE
,	I-QUOTE
peut-être	I-QUOTE
aussi…	I-QUOTE
une	I-QUOTE
de	I-QUOTE
ses	I-QUOTE
victimes…	I-QUOTE
—	O
Hélas	B-QUOTE
!	I-QUOTE

Je	I-QUOTE
suis	I-QUOTE
à	I-QUOTE
présent	I-QUOTE
dans	I-QUOTE
ses	I-QUOTE
mauvais	I-QUOTE
papiers	I-QUOTE
,	I-QUOTE
répliqua	B-REF
Dorian	I-REF
avec	O
une	O
moue	O
drôle	O
de	O
repentir.	O

Mardi	B-QUOTE
dernier	I-QUOTE
,	I-QUOTE
je	I-QUOTE
lui	I-QUOTE
avais	I-QUOTE
promis	I-QUOTE
de	I-QUOTE
l’accompagner	I-QUOTE
à	I-QUOTE
un	I-QUOTE
club	I-QUOTE
de	I-QUOTE
Whitechapel	I-QUOTE
et	I-QUOTE
j’ai	I-QUOTE
parfaitement	I-QUOTE
oublié	I-QUOTE
ma	I-QUOTE
promesse.	I-QUOTE

Nous	B-QUOTE
devions	I-QUOTE
jouer	I-QUOTE
ensemble	I-QUOTE
un	I-QUOTE
duo…	I-QUOTE
;	I-QUOTE
