M.	O
Weston	O
était	O
originaire	O
d’Highbury	O
;	O
il	O
appartenait	O
à	O
une	O
honorable	O
famille	O
qui	O
,	O
depuis	O
deux	O
ou	O
trois	O
générations	O
,	O
avait	O
graduellement	O
conquis	O
l’aisance	O
et	O
la	O
considération	O
;	O
ses	O
frères	O
s’étaient	O
adonnés	O
au	O
commerce	O
;	O
mais	O
,	O
après	O
avoir	O
terminé	O
ses	O
études	O
,	O
il	O
ne	O
voulut	O
pas	O
suivre	O
leur	O
exemple	O
:	O
il	O
se	O
trouvait	O
être	O
indépendant	O
par	O
suite	O
d’un	O
petit	O
héritage	O
personnel	O
et	O
,	O
conformément	O
à	O
ses	O
goûts	O
,	O
il	O
embrassa	O
la	O
carrière	O
des	O
armes.	O

Le	O
capitaine	O
Weston	O
était	O
fort	O
à	O
la	O
mode	O
:	O
les	O
hasards	O
de	O
la	O
vie	O
militaire	O
l’ayant	O
mis	O
sur	O
le	O
chemin	O
de	O
Mlle	O
Churchill	O
,	O
d’une	O
grande	O
famille	O
du	O
Yorkshire	O
,	O
personne	O
ne	O
s’étonna	O
lorsque	O
celle-ci	O
s’éprit	O
de	O
lui	O
,	O
à	O
l’exception	O
du	O
frère	O
et	O
de	O
la	O
belle-sœur	O
de	O
la	O
jeune	O
fille	O
;	O
ces	O
derniers	O
ne	O
connaissaient	O
pas	O
le	O
fiancé	O
,	O
mais	O
leur	O
orgueil	O
se	O
trouvait	O
offusqué	O
par	O
cette	O
mésalliance.	O

Néanmoins	O
,	O
Mlle	O
Churchill	O
étant	O
majeure	O
et	O
disposant	O
de	O
sa	O
fortune	O
(	O
du	O
reste	O
nullement	O
en	O
rapport	O
avec	O
les	O
revenus	O
du	O
chef	O
de	O
la	O
famille	O
)	O
ne	O
se	O
laissa	O
pas	O
détourner	O
de	O
ce	O
mariage	O
:	O
il	O
eut	O
lieu	O
malgré	O
l’opposition	O
de	O
M.	O
et	O
de	O
Mme	O
Churchill	O
,	O
qui	O
rompirent	O
solennellement	O
avec	O
leur	O
sœur	O
et	O
belle-sœur.	O

Ce	O
fut	O
une	O
union	O
mal	O
assortie	O
;	O
Mme	O
Weston	O
aurait	O
dû	O
y	O
trouver	O
le	O
bonheur	O
;	O
M.	O
Weston	O
en	O
effet	O
ne	O
savait	O
comment	O
remercier	O
sa	O
femme	O
de	O
la	O
grande	O
bonté	O
qu’elle	O
avait	O
eue	O
de	O
tomber	O
amoureuse	O
de	O
lui	O
;	O
mais	O
,	O
si	O
celle-ci	O
avait	O
fait	O
preuve	O
d’assez	O
de	O
fermeté	O
de	O
caractère	O
pour	O
agir	O
suivant	O
sa	O
volonté	O
et	O
tenir	O
tête	O
à	O
son	O
frère	O
,	O
elle	O
en	O
manqua	O
pour	O
supporter	O
les	O
conséquences	O
de	O
son	O
acte	O
;	O
elle	O
ne	O
pouvait	O
oublier	O
le	O
luxe	O
où	O
elle	O
avait	O
été	O
élevée	O
;	O
le	O
ménage	O
vivait	O
au-dessus	O
de	O
ses	O
moyens	O
tout	O
en	O
menant	O
néanmoins	O
un	O
train	O
de	O
vie	O
comparativement	O
fort	O
modeste	O
;	O
Mme	O
Weston	O
n’avait	O
pas	O
cessé	O
d’aimer	O
son	O
mari	O
,	O
mais	O
elle	O
aurait	O
voulu	O
être	O
à	O
la	O
fois	O
la	O
femme	O
du	O
capitaine	O
Weston	O
et	O
Mlle	O
Churchill	O
d’Enscombe	O
!	O

Le	O
capitaine	O
Weston	O
n’avait	O
pas	O
,	O
en	O
fin	O
de	O
compte	O
,	O
réalisé	O
une	O
aussi	O
brillante	O
affaire	O
que	O
les	O
Churchill	O
se	O
l’imaginaient	O
;	O
sa	O
femme	O
mourut	O
au	O
bout	O
de	O
trois	O
ans	O
de	O
mariage	O
et	O
il	O
se	O
retrouva	O
moins	O
riche	O
qu’auparavant	O
,	O
avec	O
un	O
fils	O
à	O
élever.	O

Il	O
n’eut	O
pas	O
longtemps	O
,	O
il	O
est	O
vrai	O
,	O
ce	O
genre	O
de	O
préoccupation	O
;	O
la	O
naissance	O
d’un	O
garçon	O
et	O
l’état	O
de	O
santé	O
de	O
la	O
mère	O
avaient	O
déjà	O
facilité	O
une	O
sorte	O
de	O
réconciliation	O
et	O
peu	O
après	O
le	O
décès	O
de	O
Mme	O
Weston	O
,	O
M.	O
et	O
Mme	O
Churchill	O
proposèrent	O
de	O
se	O
charger	O
entièrement	O
du	O
jeune	O
Frank.	O

Le	O
père	O
dut	O
évidemment	O
éprouver	O
quelque	O
scrupule	O
et	O
quelque	O
répugnance	O
à	O
accepter	O
,	O
mais	O
d’autres	O
considérations	O
l’emportèrent	O
:	O
l’enfant	O
fut	O
confié	O
aux	O
soins	O
et	O
voué	O
à	O
la	O
fortune	O
des	O
Churchill.	O

Le	O
capitaine	O
Weston	O
,	O
libre	O
de	O
toute	O
attache	O
,	O
jugea	O
qu’un	O
changement	O
de	O
vie	O
complet	O
s’imposait	O
:	O
il	O
donna	O
sa	O
démission	O
et	O
ses	O
frères	O
,	O
avantageusement	O
établis	O
à	O
Londres	O
,	O
lui	O
facilitèrent	O
l’accès	O
des	O
affaires.	O

Ses	O
occupations	O
n’étaient	O
pas	O
très	O
absorbantes	O
et	O
il	O
venait	O
souvent	O
à	O
Highbury	O
où	O
il	O
avait	O
conservé	O
une	O
petite	O
maison	O
;	O
entre	O
son	O
travail	O
et	O
les	O
distractions	O
du	O
monde	O
,	O
les	O
dix-huit	O
années	O
qui	O
